month,btc_usd
2023-01,22846.02
2023-02,23482.70
2023-03,28054.43
2023-04,29268.97
2023-05,27708.50
2023-06,30466.41
2023-07,29279.82
2023-08,27303.35
2023-09,26906.57
2023-10,34494.38
2023-11,37863.95
2023-12,42196.98
2024-01,42950.15
2024-02,62518.58
2024-03,69622.31
2024-04,63827.11
2024-05,68363.46
2024-06,60890.09
2024-07,66191.95
2024-08,59110.20
2024-09,65602.97
2024-10,72342.91
2024-11,97508.59
2024-12,92666.27
2025-01,104719.69
2025-02,84705.73
2025-03,82355.19
2025-04,94274.74
2025-05,104020.87
2025-06,108387.33
2025-07,117827.80
2025-08,108836.24
2025-09,114327.17
2025-10,108409.38
2025-11,90832.19
2025-12,88363.72
2026-01,84091.63
2026-02,65891.22
2026-03,66691.27
2026-04,75784.96
2026-05,73820.30
2026-06,60152.36
2026-07,64776.94
2026-08,63833.29
