month,eth_usd
2023-01,1567.42
2023-02,1633.20
2023-03,1793.94
2023-04,1909.97
2023-05,1901.33
2023-06,1853.16
2023-07,1861.68
2023-08,1705.46
2023-09,1667.74
2023-10,1809.53
2023-11,2029.37
2023-12,2292.43
2024-01,2346.16
2024-02,3380.38
2024-03,3507.25
2024-04,3215.40
2024-05,3747.64
2024-06,3373.00
2024-07,3277.78
2024-08,2525.38
2024-09,2658.02
2024-10,2657.36
2024-11,3597.26
2024-12,3358.67
2025-01,3246.12
2025-02,2305.03
2025-03,1806.55
2025-04,1798.93
2025-05,2527.70
2025-06,2502.27
2025-07,3807.38
2025-08,4373.45
2025-09,4214.50
2025-10,3801.55
2025-11,2989.65
2025-12,2967.98
2026-01,2702.92
2026-02,1931.12
2026-03,2024.01
2026-04,2253.62
2026-05,2021.67
2026-06,1609.75
2026-07,1918.76
2026-08,1895.49
