month,eth_burned,priority_fees_eth
2024-08,13466.62,9696.60
2024-09,26874.00,13354.89
2024-10,41647.55,13686.34
2024-11,46553.09,12539.73
2024-12,47063.91,9813.69
2025-01,33906.17,9446.91
2025-02,9561.41,6995.65
2025-03,3694.43,6505.16
2025-04,4658.76,7339.18
2025-05,9006.48,7723.53
2025-06,7686.00,7228.58
2025-07,7754.96,6960.06
2025-08,3256.73,5524.59
2025-09,3889.73,4019.14
2025-10,4743.20,5177.23
2025-11,2416.41,4625.16
2025-12,600.26,2959.90
2026-01,1088.10,3416.997
2026-02,1584.74,5707.75
2026-03,867.74,4029.25
2026-04,3789.73,6555.43
2026-05,2363.00,4834.995
2026-06,1812.55,4659.93
2026-07,1132.58,3262.48
