month,staked_eth,cl_apr,annualised_issuance_eth
2020-11,865696,0.178766,0
2020-12,2183889,0.112552,154757
2021-01,2924591,0.09726,245801
2021-02,3377532,0.090504,284447
2021-03,3703989,0.086424,305681
2021-04,4184969,0.081306,320113
2021-05,5347512,0.071927,340263
2021-06,6174976,0.066935,384631
2021-07,6676552,0.064371,413320
2021-08,7520837,0.060651,429778
2021-09,8097983,0.058449,456144
2021-10,8409163,0.057358,473322
2021-11,8808779,0.056042,482331
2021-12,9238214,0.054724,493658
2022-01,9713489,0.053368,505548
2022-02,10138717,0.052237,518389
2022-03,11514035,0.049018,529615
2022-04,12651288,0.046763,564394
2022-05,13360575,0.045505,591610
2022-06,13657743,0.045007,607968
2022-07,13914122,0.04459,614693
2022-08,14191681,0.044152,620435
2022-09,14909688,0.043076,626593
2022-10,15562870,0.042162,642248
2022-11,16386556,0.041089,656165
2022-12,16849958,0.04052,673306
2023-01,17427314,0.039843,682760
2023-02,18512703,0.038657,694358
2023-03,19178499,0.037981,715654
2023-04,18948768,0.03821,728410
2023-05,21844113,0.035588,724034
2023-06,23710301,0.034159,777384
2023-07,25205956,0.03313,809910
2023-08,26487041,0.032319,835065
2023-09,27401994,0.031774,856023
2023-10,28178758,0.031333,870682
2023-11,28862278,0.03096,882936
2023-12,29143151,0.030811,893581
2024-01,29754410,0.030492,897918
2024-02,31530173,0.029621,907286
2024-03,32293056,0.029269,933967
2024-04,32714460,0.02908,945199
2024-05,32859444,0.029016,951346
2024-06,33442022,0.028762,953451
2024-07,34237642,0.028426,961866
2024-08,34490449,0.028322,973241
2024-09,34815241,0.028189,976828
2024-10,35076455,0.028084,981416
2024-11,34833129,0.028182,985091
2024-12,34384370,0.028365,981668
2025-01,34172941,0.028453,975324
2025-02,34046285,0.028506,972321
2025-03,34585485,0.028283,970517
2025-04,34504964,0.028316,978172
2025-05,34775503,0.028205,977033
2025-06,35865826,0.027773,980856
2025-07,36514355,0.027526,996114
2025-08,36999021,0.027345,1005079
2025-09,36409557,0.027565,1011728
2025-10,37732717,0.027078,1003636
2025-11,36946228,0.027364,1021710
2025-12,36997840,0.027345,1011006
2026-01,40981983,0.025982,1011711
2026-02,41216243,0.025908,1064792
2026-03,41785443,0.025731,1067831
2026-04,42942645,0.025382,1075180
2026-05,42993792,0.025367,1089966
2026-06,43496860,0.02522,1090615
2026-07,44180630,0.025024,1096977
